사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-23,경부선,1003,용산,287,8,"4,568","4,702","5,484","28,666","18,962","69,205","31,748","147,988","38,209","107,602","34,380","80,318","50,969","70,591","47,238","73,493","59,330","76,614","50,548","73,202","87,571","74,685","96,975","72,934","122,805","76,995","159,981","83,549","92,483","57,786","95,290","36,557","91,306","25,569","60,558","12,528","24,192","5,961",502,"1,291",0,0,0,0,0,0
Feb-23,경부선,1004,노량진,363,4,"4,026","1,924","6,439","4,853","14,519","7,905","22,036","14,634","12,224","11,144","9,244","7,841","10,309","10,524","11,864","11,587","13,309","11,974","13,389","10,383","13,395","12,541","14,495","16,072","16,078","23,451","17,696","36,356","12,841","20,672","12,650","11,962","13,749","11,422","13,696","9,702","4,942","5,696",158,686,0,0,0,0,0,0
Feb-23,경부선,1005,대방,423,1,"4,661","1,773","8,845","7,351","22,143","28,812","28,866","41,795","16,437","20,433","13,145","11,460","12,607","11,047","13,518","11,698","13,766","13,358","13,617","12,142","15,096","13,047","15,635","15,563","26,243","21,794","36,096","30,735","13,933","20,346","10,280","13,669","9,480","13,529","6,428","11,637","1,947","7,766",51,"1,093",0,0,0,0,0,0
Feb-23,경부선,1006,영등포,"4,032",117,"14,350","6,144","14,917","20,939","36,172","53,635","52,882","123,682","37,040","87,521","34,565","70,553","41,503","80,883","48,752","81,825","53,391","85,383","60,803","73,930","80,204","75,366","97,181","74,471","111,955","87,334","152,642","110,178","87,119","69,218","91,928","37,224","73,355","28,104","60,697","22,810","23,450","13,750",517,"2,736",0,4,0,0,0,0
Feb-23,경부선,1007,신도림,225,4,"2,058",614,"3,032","2,465","7,787","6,065","9,581","14,512","5,587","6,759","3,973","4,712","3,910","4,475","4,235","4,571","4,727","5,120","4,602","4,770","5,207","5,588","5,539","6,339","9,224","8,863","13,400","12,692","5,783","7,666","4,537","4,148","4,494","3,777","3,896","3,180","1,390","1,971",49,793,0,6,0,0,0,0
Feb-23,경부선,1032,신길,496,3,"8,886","1,730","9,595","4,523","22,570","15,442","30,853","27,082","16,704","10,673","10,681","6,171","10,041","6,122","11,801","7,074","10,412","7,638","9,384","7,826","9,883","9,051","12,416","11,247","17,958","15,196","27,084","21,466","10,975","15,029","7,406","10,602","6,253","11,426","4,683","9,538","1,797","5,883",101,"1,150",0,0,0,0,0,0
Feb-23,경부선,1701,구로,"10,261",18,"21,063","4,091","17,083","12,069","32,920","28,414","33,444","68,385","23,903","36,530","19,261","25,052","19,381","22,219","20,929","21,607","21,871","22,795","22,841","21,581","25,854","23,465","31,600","27,018","47,927","36,020","58,436","40,259","24,571","28,694","18,821","18,281","16,620","17,680","10,883","15,709","4,484","12,716",38,"10,805",0,2,0,0,0,0
Feb-23,경부선,1702,가산디지털단지,"1,365",4,"7,346","3,166","6,251","14,153","13,808","52,646","13,901","146,252","10,622","72,610","9,462","22,067","10,602","15,747","12,462","15,106","13,479","16,390","14,006","15,497","16,462","15,141","27,274","18,135","69,640","24,109","106,188","27,472","42,475","19,852","25,386","12,319","21,130","12,239","14,714","10,478","6,280","5,986",231,"1,007",0,0,0,0,0,0
Feb-23,경부선,1703,금천구청,476,1,"10,926","1,260","16,404","4,906","40,891","13,551","38,565","27,915","23,532","10,551","17,086","9,111","15,983","9,474","16,026","11,698","15,191","13,390","13,738","12,353","13,632","17,055","14,697","20,342","17,111","27,470","25,383","42,148","10,678","32,307","7,847","17,387","6,519","16,376","4,338","13,487","1,634","9,238",54,684,0,1,0,0,0,0
Feb-23,경부선,1704,석수,242,2,"7,327","2,319","14,801","5,505","34,307","10,361","32,233","14,411","17,831","10,296","13,035","8,678","11,867","6,235","11,759","6,770","11,205","7,900","10,853","8,381","11,809","10,058","13,129","12,558","15,641","19,644","15,556","30,657","8,934","23,648","5,726","14,407","4,839","14,166","3,125","12,193","1,185","7,187",65,440,0,0,0,0,0,0
Feb-23,경부선,1705,관악,130,1,"6,524","1,246","12,037","3,220","31,824","5,534","28,810","9,749","14,665","8,859","10,704","9,305","9,422","6,843","10,754","7,567","10,330","6,906","9,523","7,691","9,932","9,092","10,880","11,225","11,354","16,164","10,517","27,580","6,111","20,985","4,294","12,444","3,938","11,395","2,390","10,000",904,"6,968",44,551,0,0,0,0,0,0
Feb-23,경부선,1706,안양,235,1,"13,445","3,613","30,367","12,046","79,608","15,138","68,837","27,612","37,989","22,292","29,096","21,223","28,345","25,348","30,851","26,270","29,709","30,040","29,205","27,931","30,752","33,998","36,829","39,106","36,959","52,130","32,979","82,916","20,922","64,284","17,799","35,755","18,453","29,812","15,065","24,353","6,585","17,830",304,"1,792",1,1,0,0,0,0
Feb-23,경부선,1707,명학,83,3,"6,146","1,736","9,980","7,646","24,320","22,676","20,942","51,947","11,280","13,806","8,069","6,631","8,352","5,304","8,851","5,653","8,675","7,315","8,042","6,239","8,973","7,031","12,866","8,513","23,305","11,112","37,177","19,286","10,544","17,503","9,226","9,553","6,890","8,079","4,093","7,476","1,535","5,707",77,835,0,1,0,0,0,0
Feb-23,경부선,1708,금정,321,2,"21,450","5,378","34,979","18,241","84,646","39,279","82,371","84,468","48,786","31,193","35,128","21,171","32,018","23,274","33,720","25,044","32,943","25,940","29,339","27,960","31,240","34,706","37,715","42,915","58,711","60,902","72,839","89,591","34,083","73,658","26,588","42,299","23,366","41,811","16,734","35,262","7,388","24,752",505,"8,905",0,1,0,0,0,0
Feb-23,경부선,1709,군포,19,1,"4,616","1,642","8,542","6,974","17,270","30,075","16,769","43,261","9,058","8,175","7,306","4,289","7,113","4,657","7,238","4,966","6,860","5,534","6,641","5,608","6,987","6,244","8,952","8,067","23,107","9,999","35,154","15,519","11,514","11,121","8,966","7,148","4,710","6,091","2,911","5,559","1,071","3,504",55,561,0,1,0,0,0,0
Feb-23,경부선,1710,의왕,37,0,"5,806","2,730","11,437","11,134","25,503","27,938","25,489","25,591","12,731","8,143","10,330","6,227","10,166","6,484","10,308","7,419","9,897","8,183","9,769","8,207","10,274","9,321","16,429","12,265","26,301","15,529","24,078","26,017","11,007","18,244","7,829","13,495","5,630","10,765","4,016","9,579","1,541","6,722",71,"1,120",0,0,0,0,0,0
Feb-23,경부선,1711,성균관대,123,4,"7,735","1,606","24,894","6,225","63,273","8,014","49,201","17,946","24,531","15,347","19,506","12,476","18,166","12,215","18,635","13,367","17,577","15,660","16,486","14,866","16,767","18,871","20,968","23,176","22,652","35,577","22,005","56,965","13,534","47,101","11,286","28,920","10,814","24,244","9,036","21,086","3,826","14,221",193,"2,354",0,1,0,0,0,0
Feb-23,경부선,1712,화서,368,37,"7,344","2,657","20,706","6,638","39,676","5,188","30,242","8,673","14,270","5,902","11,465","6,144","10,464","6,331","10,222","6,444","9,149","7,772","8,646","7,666","8,921","9,071","12,988","12,022","12,249","19,043","10,066","33,651","5,582","28,290","4,087","16,533","3,513","12,286","3,006","11,947",979,"7,315",49,"1,493",0,0,0,0,0,0
Feb-23,경부선,1713,수원,"1,240",66,"18,150","4,868","32,491","27,726","64,516","42,444","60,085","61,359","41,188","57,814","39,447","58,094","44,178","63,066","45,501","74,084","47,947","67,734","51,292","68,145","63,777","66,372","79,807","75,779","81,400","85,287","89,801","116,962","71,261","87,676","76,906","52,686","59,743","37,893","50,954","31,592","20,853","20,306",588,"6,411",0,3,0,0,0,0
Feb-23,경부선,1714,독산,471,5,"7,273","2,244","16,768","12,166","43,415","42,763","40,142","102,668","21,271","45,634","16,570","15,775","16,863","11,147","18,071","11,936","16,920","13,931","16,258","11,634","17,497","15,548","25,240","18,233","59,998","25,884","73,958","41,558","32,009","34,888","18,602","19,866","12,409","20,723","7,895","17,320","2,798","10,356",112,720,0,2,0,0,0,0
Feb-23,경부선,1715,세류,352,4,"3,425",799,"7,708","2,323","14,106","3,843","9,055","3,531","5,249","2,482","4,266","2,526","3,888","2,801","3,747","2,941","3,370","2,902","3,357","3,172","3,776","3,533","4,966","5,048","6,176","6,455","5,220","11,101","3,086","8,844","2,409","6,234","2,016","5,406","1,345","4,088",404,"2,580",8,890,0,0,0,0,0,0
Feb-23,경부선,1716,병점,"3,570",44,"7,616","3,090","24,448","10,120","45,771","18,830","35,259","22,709","24,260","13,247","23,107","11,233","22,168","13,347","21,726","13,362","19,828","14,674","18,719","16,573","20,607","19,644","25,001","24,999","29,089","33,455","29,790","45,692","16,212","39,164","12,099","30,101","10,863","22,974","7,055","21,636","2,594","15,628",57,"6,200",0,0,0,1,0,0
Feb-23,경부선,1717,세마,365,3,"2,017",660,"5,181","2,416","8,335","3,694","7,261","9,223","5,320","2,285","4,666","1,826","3,977","2,286","4,190","2,181","4,211","2,864","3,643","2,929","3,784","2,715","5,175","5,091","5,818","6,281","7,853","7,974","2,981","7,237","2,069","4,995","1,783","4,706","1,016","4,132",548,"2,087",53,194,0,0,0,0,0,0
Feb-23,경부선,1718,오산대,247,1,"3,452",910,"6,526","2,504","10,801","3,320","8,370","6,949","5,432","2,392","4,831","2,844","4,358","2,824","4,503","3,088","4,735","3,930","4,233","4,153","4,669","3,505","5,468","5,216","6,281","8,058","8,442","11,364","3,865","9,300","2,812","5,779","2,799","5,279","1,814","4,280","1,007","2,494",105,210,0,0,0,0,0,0
Feb-23,경부선,1719,오산,440,2,"7,971","2,341","13,355","8,582","20,304","24,046","21,713","16,996","15,295","11,801","15,966","9,984","15,541","9,712","16,058","11,586","14,789","13,179","14,598","12,853","16,034","15,918","19,897","19,320","22,729","23,278","25,120","29,116","14,335","23,257","11,563","17,552","8,075","13,931","4,738","10,071","2,070","6,878",124,642,0,0,0,0,0,0
Feb-23,경부선,1720,진위,31,0,957,366,"1,411","2,350","2,315","8,153","2,467","7,691","1,885","2,506","1,548","1,816","1,467",978,"1,733",956,"1,761","1,081","1,558","1,145","3,358","1,355","3,083","1,929","7,875","2,117","9,706","2,286","2,805","2,177","2,003","1,433","1,325","1,442",549,"1,266",252,767,12,55,0,0,0,0,0,0
Feb-23,경부선,1721,송탄,39,0,"4,797","1,118","7,334","3,469","11,560","5,670","10,161","6,818","8,358","3,839","7,524","3,652","7,734","3,808","7,627","5,376","7,007","5,511","6,346","5,793","6,744","7,306","8,103","8,616","9,052","11,222","10,290","12,304","5,624","12,155","4,118","9,097","3,631","7,751","2,018","7,127","1,022","5,862",50,489,0,0,0,0,0,0
Feb-23,경부선,1722,서정리,24,0,"3,980","4,347","10,063","9,490","13,668","15,908","13,529","16,015","11,860","7,035","11,283","6,572","11,234","6,445","12,445","8,485","11,039","9,722","11,550","9,244","12,485","10,448","15,823","14,882","31,607","17,782","23,044","15,969","13,041","17,483","10,833","13,097","7,178","10,092","4,024","10,144","1,920","7,755",87,754,0,0,0,0,0,0
Feb-23,경부선,1723,평택지제,8,2,"2,587","11,807","4,345","12,355","9,588","12,429","7,809","7,350","5,254","4,432","4,915","3,131","4,550","3,600","5,933","3,605","4,435","3,644","5,485","4,032","7,371","4,641","7,943","5,907","16,708","7,374","11,527","9,045","9,799","7,356","5,030","6,212","5,086","5,277","4,353","4,765","1,577","2,891",28,271,0,0,0,0,0,0
Feb-23,경부선,1724,평택,75,1,"7,113","2,658","12,066","7,681","22,378","12,995","20,797","21,960","20,982","17,523","21,192","15,425","19,562","20,103","19,832","20,544","20,426","20,566","20,219","22,673","22,612","23,034","25,518","26,452","29,505","32,009","27,823","34,693","19,876","24,244","20,097","19,833","14,061","15,466","11,247","12,184","6,371","6,723",123,"1,977",0,0,0,0,0,0
Feb-23,경부선,1725,성환,16,1,"2,105",608,"3,445","2,064","4,915","8,389","5,898","8,485","6,034","4,528","5,575","4,205","5,044","4,176","5,542","6,326","6,737","5,528","6,179","4,632","6,085","5,533","8,493","5,799","12,641","6,608","9,069","7,325","3,687","5,519","3,385","5,119","1,718","4,008",969,"3,542",491,"3,612",51,890,0,0,0,0,0,0
Feb-23,경부선,1726,직산,43,0,925,411,"1,352","1,186","1,650","2,859","1,739","3,283","1,323","1,046","1,180",841,"1,396",789,"1,198",875,"1,174",912,965,914,"1,377","1,083","1,558","1,269","3,156","1,557","3,278","1,801","1,016","1,762",815,"1,212",631,"1,068",303,889,162,733,22,143,0,0,0,0,0,0
Feb-23,경부선,1727,두정,"1,266",2,"5,203",810,"8,974","3,195","14,358","5,718","11,710","9,056","10,078","10,333","8,581","8,368","8,598","7,728","9,466","9,401","8,825","9,085","9,058","8,178","10,008","7,765","11,629","11,390","13,292","14,783","14,835","19,664","8,002","14,400","6,299","10,623","5,441","8,502","3,516","8,039","2,186","6,550",16,"1,895",0,0,0,0,0,0
Feb-23,경부선,1728,천안,"1,930",1,"2,933",678,"5,470","2,612","8,917","4,853","8,233","9,777","11,894","10,256","9,893","9,848","11,070","11,998","10,253","12,325","10,844","12,200","12,549","11,091","13,448","11,823","13,815","12,151","13,316","15,456","12,388","17,283","8,190","10,508","7,418","7,841","5,130","6,242","2,650","4,521","1,855","2,921",8,"1,737",0,0,0,0,0,0
Feb-23,경부선,1729,당정,4,0,"3,201",813,"9,160","2,571","23,354","8,171","21,043","14,517","10,750","5,913","8,268","3,939","7,704","4,205","8,702","4,513","7,697","4,930","6,687","5,579","7,250","6,301","7,578","8,689","10,205","11,493","13,237","19,585","5,441","15,806","4,111","11,272","3,531","9,084","2,429","8,972","1,033","6,425",82,963,0,1,0,0,0,0
Feb-23,경부선,1749,서동탄,0,0,"1,019",3,"4,196",941,"9,202","1,439","3,323","1,348","2,526",785,"1,800",691,"1,741","1,020","1,397",989,"1,468",949,"1,442","1,372","1,670","1,902","1,912","1,920","1,722","2,689","2,257","4,333",908,"5,367",732,"2,328",504,"2,062",361,"2,273",92,"1,408",9,"1,211",0,0,0,0,0,0
Feb-23,경부선,1750,광명,0,0,16,"1,191","2,985","2,674","11,104","5,936","9,841","6,855","6,362","6,011","3,895","3,946","6,993","2,464","5,174","7,461","4,436",155,"3,545","7,496","8,762","3,783","2,716","4,836","8,516","6,561","9,547","11,863","8,364","6,782","6,239","3,460","3,848","5,550","2,481","2,118","1,226",200,1,0,0,0,0,0,0,0
Feb-23,경인선,1801,개봉,"1,177",3,"16,086","4,600","34,311","9,374","86,195","12,428","81,756","20,592","49,000","18,684","35,064","15,689","32,271","18,777","31,987","23,210","29,189","23,189","26,350","26,279","25,100","32,773","28,564","40,935","29,030","55,290","29,043","83,975","17,730","66,264","13,966","40,281","11,281","36,606","8,981","30,741","3,350","18,297",35,"1,176",0,1,0,0,0,0
Feb-23,경인선,1802,오류동,376,1,"11,274","1,481","17,224","4,063","44,836","5,119","44,855","9,832","25,790","10,047","19,094","8,819","18,082","9,459","19,514","11,384","17,331","11,704","15,042","14,038","14,480","16,584","14,485","19,766","14,442","25,489","13,184","39,834","7,845","35,342","6,075","20,721","5,346","18,856","3,762","17,123","1,614","11,154",43,698,0,5,0,0,0,0
Feb-23,경인선,1803,역곡,684,11,"26,547","2,775","40,301","9,199","107,716","11,225","104,763","25,668","59,263","21,770","40,134","18,463","36,399","21,765","37,210","25,410","35,081","26,197","30,345","30,941","28,715","35,122","31,317","50,814","33,066","66,366","33,128","107,639","20,252","87,414","16,150","49,660","13,983","46,037","11,922","40,120","4,896","27,585",122,"1,075",0,2,0,0,0,0
Feb-23,경인선,1804,부천,"2,213",29,"34,604","4,018","39,382","10,722","97,143","15,170","98,378","34,134","56,989","34,732","42,334","34,741","43,334","37,525","46,450","44,499","45,193","48,464","45,068","48,948","48,078","51,562","51,634","62,493","53,383","80,892","53,131","110,813","33,975","97,794","28,127","54,317","26,754","47,738","23,589","38,446","11,397","26,463",319,"3,002",0,2,0,0,0,0
Feb-23,경인선,1805,송내,"1,377",6,"14,422","7,841","35,584","14,096","98,897","24,578","82,436","66,690","45,860","36,477","35,026","21,899","34,836","22,000","35,071","23,132","32,608","25,129","28,857","25,947","30,965","28,501","34,650","39,358","41,564","52,698","69,958","85,532","27,360","79,180","20,959","45,534","17,912","39,960","14,380","35,306","6,485","22,268",401,"2,202",0,1,0,0,0,0
Feb-23,경인선,1806,부평,"7,135",39,"20,033","4,812","33,261","11,298","74,794","16,974","70,439","30,658","41,883","35,067","35,471","32,292","36,871","40,048","41,148","46,236","41,333","52,503","42,496","52,418","46,971","52,487","53,871","64,211","56,541","77,360","52,553","112,978","39,216","94,025","35,955","50,632","37,635","40,955","33,259","35,031","18,298","22,191","2,535","5,337",1,10,0,0,0,0
Feb-23,경인선,1807,백운,114,2,"6,865","1,370","11,701","3,690","24,052","3,623","21,824","7,139","13,566","5,578","11,434","5,215","11,058","6,291","11,331","7,354","9,948","7,818","8,440","7,835","8,250","9,919","9,713","12,793","9,129","15,379","8,163","21,325","4,066","20,530","3,281","11,513","3,003","10,226","2,205","9,894",984,"6,601",67,"1,460",0,0,0,0,0,0
Feb-23,경인선,1808,동암,492,4,"17,204","2,957","30,496","7,309","55,071","11,389","52,684","15,289","31,023","12,927","25,613","12,830","23,402","15,584","24,739","16,950","22,926","18,062","20,383","17,517","19,490","22,365","21,584","29,143","23,383","39,873","21,796","55,325","13,562","51,090","10,803","31,596","9,411","28,007","7,354","25,727","3,637","15,699",234,"3,474",0,0,0,0,0,0
Feb-23,경인선,1809,주안,739,21,"12,929","3,909","25,499","8,481","55,483","13,989","49,408","24,677","32,663","19,234","25,984","15,416","26,611","15,499","29,085","19,113","27,515","17,863","24,869","20,552","26,579","21,630","29,799","28,900","34,413","35,763","32,893","53,323","19,977","54,588","17,025","31,456","15,462","26,071","13,732","24,546","6,354","17,995",536,"4,260",2,1,0,0,0,0
Feb-23,경인선,1810,제물포,667,3,"6,817","2,044","14,067","5,025","35,090","9,559","29,918","21,217","17,299","12,051","14,901","8,082","14,999","7,697","14,694","10,068","14,093","10,940","12,727","11,285","13,151","11,997","15,716","15,052","18,901","19,266","21,133","28,462","8,853","27,301","6,305","16,606","5,343","14,193","3,592","13,495","1,349","9,668",73,"2,909",0,2,0,0,0,0
Feb-23,경인선,1811,동인천,"1,127",13,"6,192","2,527","15,688","10,324","37,245","19,573","29,222","28,106","18,878","15,252","18,046","18,394","19,344","21,123","21,671","19,399","21,893","21,675","21,494","20,722","24,718","19,022","27,575","22,157","35,307","25,520","39,970","31,877","16,746","32,029","11,975","18,954","9,912","14,585","6,573","14,232","2,269","9,141",9,"3,432",0,1,0,0,0,0
Feb-23,경인선,1812,인천,352,20,"1,117",932,"3,015","2,806","5,369","4,675","4,592","7,159","2,934","3,714","3,082","5,212","3,737","8,149","5,611","8,701","6,830","7,653","8,735","7,107","10,093","5,328","10,910","4,710","12,548","3,849","12,472","3,911","5,822","2,890","4,688","2,147","2,839","1,795","1,597","1,510",435,"1,130",7,982,0,0,0,0,0,0
Feb-23,경인선,1813,구일,220,9,"3,663","1,242","8,680","3,934","24,417","5,593","22,215","10,111","12,586","5,248","9,286","4,697","8,936","4,526","8,933","5,263","7,880","6,738","7,142","6,920","8,098","8,736","8,873","9,654","9,864","13,168","10,422","23,209","4,663","17,603","3,303","10,536","2,715","10,125","2,347","8,555",797,"5,526",25,286,0,0,0,0,0,0
Feb-23,경인선,1814,소사,969,9,"12,839","2,482","13,031","4,600","27,758","6,357","26,028","9,022","16,701","8,315","14,038","7,825","13,067","8,950","13,085","9,937","11,998","10,247","11,298","10,587","10,929","11,747","12,113","15,445","11,911","18,744","10,493","25,034","6,140","21,797","4,453","13,649","3,374","12,756","2,409","11,392","1,055","8,626",33,823,0,1,0,0,0,0
Feb-23,경인선,1815,부개,"1,590",12,"9,061","1,478","15,302","2,990","36,039","4,500","30,791","8,303","17,973","6,416","14,178","5,623","13,257","7,297","13,253","8,568","12,377","9,059","10,039","10,027","9,716","12,066","10,555","16,157","10,482","20,328","10,631","27,314","5,601","25,465","4,013","15,187","3,646","13,211","2,448","11,896","1,255","8,711",89,"1,320",0,0,0,0,0,0
Feb-23,경인선,1816,간석,278,15,"5,095","1,123","9,808","2,168","20,696","3,321","16,776","7,473","10,795","4,824","9,117","4,890","9,063","5,460","9,016","5,812","8,409","7,297","7,877","7,114","7,897","8,703","8,013","10,047","8,466","12,217","8,954","17,156","4,689","16,430","3,820","10,071","3,250","8,053","2,540","7,128","1,068","5,232",76,"1,566",0,4,0,0,0,0
Feb-23,경인선,1817,도원,366,7,"1,932",794,"3,091","1,439","6,859","3,024","6,027","8,834","4,283","3,757","4,180","3,878","4,920","3,219","5,360","3,518","4,629","4,040","4,358","3,891","4,697","4,238","5,033","4,844","4,679","5,384","6,902","6,045","2,376","5,487","1,896","3,621","1,725","3,091",844,"2,623",299,"2,027",18,"1,077",0,1,0,0,0,0
Feb-23,경인선,1821,온수(성공회대입구),134,0,"5,014","1,176","8,000","2,711","20,105","5,468","19,086","10,302","13,042","6,435","10,603","5,349","10,229","5,600","11,329","6,606","10,020","6,608","9,031","7,773","8,672","8,815","9,878","10,213","9,675","13,929","9,816","20,459","5,278","16,770","3,718","10,114","3,527","9,646","2,786","8,335","1,393","5,429",49,576,0,4,0,0,0,0
Feb-23,경인선,1822,중동,740,15,"9,870","1,107","16,696","2,977","39,901","4,332","31,742","10,698","18,259","7,538","13,954","6,894","13,689","8,350","14,257","9,168","12,879","9,714","11,100","10,879","10,732","11,832","10,959","17,076","11,657","20,643","12,276","28,973","6,230","28,248","4,936","16,551","4,338","14,101","3,108","12,273","1,321","8,647",77,"1,261",1,0,0,0,0,0
Feb-23,경인선,1823,도화,205,3,"3,884",451,"6,474","1,539","14,244","3,326","11,753","5,516","7,970","3,191","6,803","3,385","6,520","3,636","6,574","4,616","6,477","4,925","5,355","5,619","5,221","6,137","5,864","7,303","6,067","8,512","6,310","10,456","3,121","9,904","2,403","6,134","1,697","5,141","1,358","4,327",545,"3,691",20,"1,506",0,0,0,0,0,0
Feb-23,경원선,1008,이촌(국립중앙박물관),46,1,947,581,"3,198","2,197","7,151","3,749","8,770","8,093","7,427","5,010","6,138","3,829","6,016","3,834","6,124","3,564","6,233","4,563","6,200","4,068","7,025","4,895","7,591","5,296","9,649","6,144","9,510","8,009","5,112","5,794","3,905","4,075","3,340","3,651","2,029","3,824",640,"2,198",50,653,0,0,0,0,0,0
Feb-23,경원선,1009,서빙고,73,1,952,607,"1,832","3,252","2,819","4,165","3,371","8,703","2,813","3,810","2,712","2,875","2,472","2,280","2,866","2,180","3,291","3,062","3,322","2,620","3,842","3,471","5,453","3,241","7,433","3,055","6,963","3,814","2,959","3,047","2,101","1,910","1,678","1,667",975,"1,422",311,984,20,274,0,0,0,0,0,0
Feb-23,경원선,1010,한남,165,0,"1,449",774,"2,258","4,775","3,859","9,817","5,017","13,394","4,431","9,916","4,271","5,479","4,850","4,501","5,152","5,055","4,879","5,278","5,466","4,634","7,260","4,529","8,945","5,898","14,305","6,578","13,223","7,119","6,867","5,798","5,050","2,825","4,767","3,095","4,586","2,269","1,934","1,364",86,426,0,0,0,0,0,0
Feb-23,경원선,1011,옥수,0,0,0,32,2,62,55,13,97,209,22,14,30,179,17,211,12,76,10,25,22,4,16,16,286,52,369,85,44,48,322,12,42,13,52,16,13,5,6,0,0,0,0,0,0,0,0,0
Feb-23,경원선,1012,응봉,83,0,"1,124",253,"2,562",841,"6,627","1,164","6,854","2,046","4,589","1,404","3,445","1,406","3,132","1,312","2,854","1,558","2,588","2,118","2,538","2,262","2,305","2,484","2,966","3,447","2,772","4,086","2,530","4,908","1,347","4,550",993,"2,783",684,"2,352",664,"2,319",243,"1,522",34,458,0,0,0,0,0,0
Feb-23,경원선,1013,왕십리(성동구청),740,2,"5,121","1,230","7,866","5,499","23,850","10,705","40,141","19,900","25,729","15,904","15,600","17,083","16,473","20,551","19,976","23,217","22,284","23,659","22,715","24,130","24,580","27,084","27,671","31,720","31,092","43,215","30,949","63,838","23,321","46,953","23,679","26,701","26,383","21,610","25,556","19,821","12,279","10,642","1,399","3,917",0,0,0,0,0,0
Feb-23,경원선,1014,청량리(서울시립대입구),"1,030",8,"4,993","1,481","6,489","10,892","24,677","14,151","40,554","21,514","22,985","27,073","32,206","29,285","22,658","33,041","28,883","31,362","36,287","32,150","29,845","34,406","36,716","35,799","36,360","33,952","31,786","32,237","37,001","49,403","22,624","33,538","25,098","18,927","18,226","20,361","10,165","11,505","5,268","6,798",173,"3,389",0,0,0,0,0,0
Feb-23,경원선,1016,외대앞,404,3,"4,562","3,437","7,691","7,364","17,061","3,619","21,596","10,873","13,293","9,224","10,821","8,135","11,372","8,061","12,633","9,794","13,216","10,312","12,618","10,178","13,847","12,301","17,975","13,679","15,859","15,669","12,667","22,519","7,986","18,385","5,900","12,012","5,834","11,622","5,231","11,849","2,721","8,880",102,"2,095",0,0,0,0,0,0
Feb-23,경원선,1017,신이문,"1,248",2,"7,999","1,731","12,377","4,048","31,465","3,773","35,867","7,673","19,786","4,284","14,432","5,128","12,684","6,344","13,101","7,625","12,452","8,493","9,971","9,650","9,515","13,285","11,378","15,413","9,679","19,138","8,893","29,671","5,419","23,441","3,469","14,503","2,606","12,806","2,009","11,480",855,"7,784",41,"1,502",0,0,0,0,0,0
Feb-23,경원선,1018,석계,"1,178",13,"5,843","1,643","9,747","3,106","22,118","4,100","25,765","7,505","16,333","6,323","14,237","6,296","13,501","8,241","13,592","8,871","12,836","10,057","11,249","11,664","11,060","15,442","10,582","19,525","11,204","23,731","9,743","35,494","7,208","25,722","5,746","16,319","5,580","14,914","4,383","11,698","2,431","7,849",147,"1,699",0,0,0,0,0,0
Feb-23,경원선,1019,광운대,"2,007",5,"5,562","1,039","12,124","1,759","28,123","3,684","26,020","9,180","13,790","7,415","10,448","7,125","10,475","7,222","11,450","8,507","10,841","8,831","10,011","9,527","10,057","10,911","10,359","13,364","10,288","15,081","9,338","23,726","5,238","19,559","4,434","12,469","4,394","10,991","3,197","9,221","1,495","8,428",121,"4,066",0,0,0,0,0,0
Feb-23,경원선,1020,월계,840,20,"4,493",989,"8,713","1,928","22,710","4,453","21,518","8,100","13,841","5,576","11,314","5,568","10,784","5,632","11,280","6,673","9,936","7,848","8,963","7,210","8,290","9,640","8,698","12,155","8,453","13,392","7,809","20,914","4,660","17,628","3,215","9,287","2,635","9,325","1,806","7,614",780,"5,902",53,"1,182",0,0,0,0,0,0
Feb-23,경원선,1021,녹천,918,8,"3,852",620,"6,993","1,047","19,018","3,522","17,787","4,540","9,748","2,546","7,665","3,096","6,750","3,115","7,699","4,120","6,496","4,122","5,474","4,474","5,054","5,534","5,579","6,938","5,220","8,382","4,422","14,211","2,948","12,136","1,774","6,975","1,516","6,403","1,199","5,481",413,"4,058",38,914,0,0,0,0,0,0
Feb-23,경원선,1022,창동,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
