사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-23,2호선,205,동대문역사문화공원(DDP),221,7,"4,686","1,232","3,772","7,176","6,293","15,951","12,380","40,858","11,054","28,466","12,271","23,661","14,309","25,168","16,344","24,891","18,729","25,084","22,150","24,508","26,177","23,343","29,871","21,664","38,096","23,498","43,106","27,926","25,684","25,519","19,676","17,393","21,045","15,071","15,885","13,424","8,292","8,479","1,588","2,944",3,130,0,0,0,0
Feb-23,2호선,206,신당,26,2,"5,608",910,"9,694","7,377","25,252","13,688","43,985","29,347","25,851","21,300","17,531","17,394","17,315","19,107","20,120","20,248","21,037","20,940","21,209","21,696","22,353","23,231","25,273","27,017","28,737","33,442","31,845","50,585","21,777","33,804","17,029","20,885","15,507","17,923","13,904","17,075","7,006","10,572","1,201","3,428",0,57,0,0,0,0
Feb-23,2호선,207,상왕십리,34,0,"5,062",573,"12,234","5,808","36,184","10,654","60,404","31,239","34,325","16,863","20,252","12,466","19,179","11,655","19,716","13,924","19,337","14,622","17,942","15,937","18,136","18,331","19,881","21,304","23,896","30,439","26,178","50,964","17,365","34,956","11,498","22,076","10,046","21,153","7,168","19,596","3,019","12,300",443,"4,008",0,39,0,0,0,0
Feb-23,2호선,208,왕십리(성동구청),730,2,"6,112","1,112","8,721","6,470","21,987","10,873","42,590","25,059","27,055","17,178","17,347","13,853","18,499","15,575","20,476","17,700","22,370","18,751","22,177","18,725","23,128","20,574","26,131","24,334","31,083","33,741","35,161","54,734","21,422","34,742","21,324","20,268","25,310","18,069","25,661","16,667","14,211","11,981","2,382","4,507",4,69,0,1,0,0
Feb-23,2호선,209,한양대,4,0,844,338,"2,070","5,111","4,922","9,481","8,044","31,211","5,586","33,357","5,130","18,764","7,720","12,280","11,004","12,886","11,284","16,331","10,214","12,385","12,130","9,681","19,476","8,301","30,166","8,505","26,815","9,768","11,606","6,509","8,224","5,105","7,880","4,556","6,855","4,455","3,648","3,278",852,"1,060",3,13,0,1,0,0
Feb-23,2호선,210,뚝섬,8,1,"2,667","2,010","6,911","14,158","15,923","34,342","23,200","131,674","16,220","89,581","13,591","39,521","15,476","31,329","18,996","32,966","23,282","34,299","27,413","30,142","33,337","30,313","42,249","31,282","67,293","34,493","127,824","42,165","61,728","25,405","40,990","13,442","38,342","11,614","26,175","10,300","10,535","7,086","1,526","2,655",3,62,0,0,0,0
Feb-23,2호선,211,성수,45,2,"4,923","3,974","8,458","28,782","20,015","70,373","29,012","262,860","22,825","151,899","20,385","69,181","23,685","53,918","28,998","58,933","36,105","64,889","43,378","60,496","53,463","59,479","70,643","57,919","127,988","61,167","240,503","68,496","115,673","41,273","80,581","19,581","74,647","15,700","53,936","13,678","22,363","10,805","3,422","5,524",4,841,0,0,0,0
Feb-23,2호선,212,건대입구,232,4,"14,737","1,582","19,523","14,795","46,839","22,328","86,193","55,099","58,638","48,660","35,170","38,232","34,963","45,622","41,130","52,998","44,981","57,510","46,676","57,981","51,093","63,886","59,672","76,495","70,340","102,177","84,655","152,372","63,166","107,631","65,016","60,287","74,547","54,902","78,454","47,804","49,478","28,342","8,072","10,433",6,816,0,0,0,0
Feb-23,2호선,213,구의(광진구청),45,3,"11,805","1,485","23,268","17,580","60,767","13,724","109,768","37,034","66,744","22,331","34,533","18,188","30,368","19,571","31,400","22,401","30,379","24,873","27,754","26,731","28,551","33,865","36,982","39,149","35,856","53,848","42,786","89,442","22,431","66,617","17,409","42,046","16,248","40,804","14,899","37,554","8,141","22,081","1,296","7,150",3,131,0,0,0,0
Feb-23,2호선,214,강변(동서울터미널),21,2,"7,696","2,034","23,866","18,226","70,316","20,619","112,239","39,531","82,142","34,974","64,834","35,575","58,080","33,985","54,572","38,315","50,373","42,763","46,887","46,786","47,253","54,766","49,064","61,180","52,604","75,468","57,460","105,988","40,132","79,306","32,055","51,495","25,494","43,589","16,448","39,188","6,971","21,600","1,003","5,495",1,72,0,0,0,0
